PRODUTO_ID_ORIGEM,NOME_ORIGINAL,RESULTADO,PRODUTO_CONSOLIDADO,NOME_CONSOLIDADO,DUPLICADO_DE,MOTIVO,FONTE_ORIGINAL,FONTE_CONSOLIDADA,CONFIANCA,LINHA_NA_PLANILHA_ORIGINAL,OBSERVACAO,TIPO_REGISTRO
JR-027,INCORPORADOR DE DEFENSIVOS JET DRONE 20,IMPORTAR,JR-027,INCORPORADOR DE DEFENSIVOS JET DRONE 20,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 157,NCM 84368000,ORIGEM
JR-028,TANQUE DE AGUA LIMPA 270L com 8lts de Potavel PickUp,IMPORTAR,JR-028,TANQUE DE AGUA LIMPA 270L com 8lts de Potavel PickUp,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 158,NCM 84369000,ORIGEM
JR-029,TANQUE DE AGUA LIMPA 410L com 8lts de Potavel PickUp,IMPORTAR,JR-029,TANQUE DE AGUA LIMPA 410L com 8lts de Potavel PickUp,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 159,NCM 84369000,ORIGEM
JR-030,BICO DE ABASTECIMENTO TIPO POSTO DE GASOLINA,IMPORTAR,JR-030,BICO DE ABASTECIMENTO TIPO POSTO DE GASOLINA,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 160,NCM 84818099,ORIGEM
JR-031,BICO DE ABASTECIMENTO TIPO POSTO DE GASOLINA COM FLUXOMETRO,IMPORTAR,JR-031,BICO DE ABASTECIMENTO TIPO POSTO DE GASOLINA COM FLUXOMETRO,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 161,NCM 84818099,ORIGEM
JR-032,MEDIDOR DE FLUXO DIGITAL,IMPORTAR,JR-032,MEDIDOR DE FLUXO DIGITAL,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 162,NCM 90282010,ORIGEM
JR-033,SISTEMA DE AQUECIMENTO PARA OS AGUA LIMPA DE 270 OU 410L,IMPORTAR,JR-033,SISTEMA DE AQUECIMENTO PARA OS AGUA LIMPA DE 270 OU 410L,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 163,NCM não informado na tabela,ORIGEM
JR-034,"BASE COM CARRETEL RETRATIL 15 METROS MANGUEIRA DE 3/4""",IMPORTAR,JR-034,"BASE COM CARRETEL RETRATIL 15 METROS MANGUEIRA DE 3/4""",,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 164,NCM não informado na tabela,ORIGEM
JR-035,RACK PARA TRANSPORTE DE DRONE (SAVEIRO 1867 OU STRADA 1957),IMPORTAR,JR-035,RACK PARA TRANSPORTE DE DRONE (SAVEIRO 1867 OU STRADA 1957),,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 165,NCM 84329000,ORIGEM
JR-036,Estrutura de Trabalho DroneMix PickUp com uma prat (BASE OPERACIONAL),IMPORTAR,JR-036,Estrutura de Trabalho DroneMix PickUp com uma prat (BASE OPERACIONAL),,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 166,NCM 84329000,ORIGEM
JR-037,Prateleira Lateral extra (PARA BASE DE OPERACAO PICK UP),IMPORTAR,JR-037,Prateleira Lateral extra (PARA BASE DE OPERACAO PICK UP),,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 167,NCM 84329000,ORIGEM
JR-038,"TANQUE PRE MIX 200 CONEXOES EM 2""",IMPORTAR,JR-038,"TANQUE PRE MIX 200 CONEXOES EM 2""",,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 168,NCM 84368000,ORIGEM
JR-039,"TANQUE PRE MIX 320 CONEXOES EM 2""",IMPORTAR,JR-039,"TANQUE PRE MIX 320 CONEXOES EM 2""",,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 169,NCM 84368000,ORIGEM
JR-040,"TANQUE PRE MIX 600 CONEXOES EM 2""",IMPORTAR,JR-040,"TANQUE PRE MIX 600 CONEXOES EM 2""",,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 170,NCM 84368000,ORIGEM
DJI-087,DISPERSOR DE SOLIDOS T100,IMPORTAR,DJI-087,DISPERSOR DE SOLIDOS T100,,REGISTRO CANONICO CRIADO NA V4,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,"PDF DJI SUBDEALER V16.2, bloco DISPERSOR DE SOLIDOS","Nao e registro de origem: foi criado na V4 ao separar o KIT DE PULVERIZACAO T100 (DJI-046, 16.500/16.990) do DISPERSOR DE SOLIDOS T100 (12.220/12.500). Recebe a consolidacao de EXC-035.",CANONICO V4
